Insee - Statistiques locales; ; ; ; 
Référentiel géographique : France par commune; ; ; ; 
Code;Libellé;Nb de familles 2019;Part des familles avec 3 enf. ou plus de - de 25 ans 2019;Population municipale 2019
01001;L'Abergement-Clémenciat;240;6;779
01002;L'Abergement-de-Varey;79;7;256
01004;Ambérieu-en-Bugey;3659;11.7;14134
01005;Ambérieux-en-Dombes;521;7.5;1751
01006;Ambléon;36;0;112
01007;Ambronay;815;9.2;2800
01008;Ambutrix;222;4.5;762
01009;Andert-et-Condon;101;4.9;326
01010;Anglefort;323;11.7;1105
01011;Apremont;113;12.4;368
01012;Aranc;91;11.2;329
01013;Arandas;45;11.1;143
01014;Arbent;1009;10.2;3349
01015;Arboys en Bugey;206;7.2;650
01016;Arbigny;146;10.3;460
01017;Argis;130;8.9;457
01019;Armix;16;0;27
01021;Ars-sur-Formans;410;11;1457
01022;Artemare;377;8.3;1249
01023;Asnières-sur-Saône;25;0;76
01024;Attignat;971;10.1;3251
01025;Bâgé-Dommartin;1235;10.5;4065
01026;Bâgé-le-Châtel;280;10.7;973
01027;Balan;585;10.6;2563
01028;Baneins;188;15.8;617
01029;Beaupont;179;8.2;685
01030;Beauregard;240;8.3;829
01031;Bellignat;968;11.6;3652
01032;Béligneux;957;14.7;3376
01033;Valserhône;4527;10.4;16378
01034;Belley;2272;10.7;9182
01035;Belleydoux;96;5.3;310
01036;Valromey-sur-Séran;431;2.4;1326
01037;Bénonces;79;13.7;308
01038;Bény;234;7.8;754
01039;Béon;130;11.1;443
01040;Béréziat;142;7.1;486
01041;Bettant;246;4;748
01042;Bey;90;11.8;291
01043;Beynost;1445;8.3;4754
01044;Billiat;200;2.4;632
01045;Birieux;86;5.8;283
01046;Biziat;266;11.4;895
01047;Blyes;359;9.1;1182
01049;La Boisse;960;11.8;3283
01050;Boissey;110;13;365
01051;Bolozon;31;0;91
01052;Bouligneux;110;9.1;328
01053;Bourg-en-Bresse;9598;11.7;41111
01054;Bourg-Saint-Christophe;451;5.7;1457
01056;Boyeux-Saint-Jérôme;96;10.6;349
01057;Boz;141;7.1;519
01058;Brégnier-Cordon;248;10.2;828
01060;Brénod;150;8.8;493
01061;Brens;363;4.2;1144
01062;Bressolles;296;5;934
01063;Brion;182;2.5;533
01064;Briord;318;3.1;1070
01065;Buellas;580;6;1812
01066;La Burbanche;25;0;89
01067;Ceignes;80;6.2;255
01068;Cerdon;216;9.3;775
01069;Certines;461;5.1;1503
01071;Cessy;1394;7.6;4808
01072;Ceyzériat;915;10.4;3194
01073;Ceyzérieu;314;7.6;1000
01074;Chalamont;712;12.2;2589
01075;Chaleins;429;9.2;1382
01076;Chaley;38;0;125
01077;Challes-la-Montagne;51;10;196
01078;Challex;441;5.6;1557
01079;Champagne-en-Valromey;195;12.8;811
01080;Champdor-Corcelles;188;9.9;643
01081;Champfromier;215;11.6;735
01082;Chanay;161;9.6;628
01083;Chaneins;275;8.6;927
01084;Chanoz-Châtenay;267;9.1;895
01085;La Chapelle-du-Châtelard;124;8.7;400
01087;Charix;79;12.1;282
01088;Charnoz-sur-Ain;291;6.4;903
01089;Château-Gaillard;680;9.6;2253
01090;Châtenay;105;9.5;356
01092;Châtillon-la-Palud;475;7.4;1604
01093;Châtillon-sur-Chalaronne;1340;8.7;4931
01094;Chavannes-sur-Reyssouze;242;8.2;761
01095;Nivigne et Suran;233;16.1;853
01096;Chaveyriat;317;9.6;1034
01098;Chazey-Bons;344;10.4;1159
01099;Chazey-sur-Ain;468;10.5;1566
01100;Cheignieu-la-Balme;30;0;131
01101;Chevillard;45;0;152
01102;Chevroux;300;9.9;961
01103;Chevry;635;7.1;2149
01104;Chézery-Forens;135;7.1;461
01105;Civrieux;565;8.8;1829
01106;Cize;50;10;179
01107;Cleyzieu;34;0;133
01108;Coligny;318;5.8;1176
01109;Collonges;620;9.7;2226
01110;Colomieu;40;12.5;156
01111;Conand;40;12.5;132
01112;Condamine;135;3.6;450
01113;Condeissiat;240;12.5;817
01114;Confort;175;9.8;667
01115;Confrançon;391;11.1;1333
01116;Contrevoz;150;10;498
01117;Conzieu;45;22.2;151
01118;Corbonod;340;8.8;1278
01121;Corlier;30;16.7;116
01123;Cormoranche-sur-Saône;355;9.9;1162
01124;Cormoz;211;4.7;689
01125;Corveissiat;175;8.6;612
01127;Courmangoux;150;3.3;508
01128;Courtes;96;10.5;305
01129;Crans;91;5.3;291
01130;Bresse Vallons;709;10.2;2363
01133;Cressin-Rochefort;130;3.8;394
01134;Crottet;557;5.6;1758
01135;Crozet;611;10.8;2171
01136;Cruzilles-lès-Mépillat;280;7.1;893
01138;Culoz;823;11.6;3004
01139;Curciat-Dongalon;126;8;444
01140;Curtafond;235;6;767
01141;Cuzieu;140;11.4;453
01142;Dagneux;1401;11.1;4777
01143;Divonne-les-Bains;2736;9.2;9951
01145;Dompierre-sur-Veyle;348;11.4;1179
01146;Dompierre-sur-Chalaronne;135;11.1;436
01147;Domsure;152;9.8;492
01148;Dortan;581;6;1879
01149;Douvres;339;8.7;1076
01150;Drom;65;7.7;214
01151;Druillat;362;8.3;1146
01152;Échallon;218;6.3;748
01153;Échenevex;628;11;2115
01155;Évosges;45;11.1;143
01156;Faramans;252;10;815
01157;Fareins;688;11.4;2250
01158;Farges;299;10;1048
01159;Feillens;1045;6.7;3365
01160;Ferney-Voltaire;2707;9.1;10026
01162;Flaxieu;15;0;65
01163;Foissiat;622;8.9;2038
01165;Francheleins;497;8.1;1594
01166;Frans;764;5.9;2423
01167;Garnerans;209;6.7;634
01169;Genouilleux;206;7.3;641
01170;Béard-Géovreissiat;303;11.1;1053
01171;Géovreisset;282;5;844
01173;Gex;3658;8.6;13121
01174;Giron;46;11.1;178
01175;Gorrevod;245;8.2;784
01177;Grand-Corent;50;20;183
01179;Grièges;584;6;1881
01180;Grilly;264;3.8;839
01181;Groissiat;370;8.1;1241
01183;Guéreins;457;10.7;1479
01184;Hautecourt-Romanèche;212;9.5;763
01185;Plateau d'Hauteville;1142;8.1;4844
01187;Haut Valromey;200;2.5;618
01188;Illiat;204;11.9;663
01189;Injoux-Génissiat;340;7.4;1115
01190;Innimond;29;16.7;87
01191;Izenave;49;0;154
01192;Izernore;663;8.5;2277
01193;Izieu;75;0;222
01194;Jassans-Riottier;1866;9.9;6346
01195;Jasseron;533;8.7;1783
01196;Jayat;355;9.5;1226
01197;Journans;115;0;351
01198;Joyeux;80;12.2;268
01199;Jujurieux;611;8.8;2137
01200;Labalme;65;7.7;214
01202;Lagnieu;2051;9;7161
01203;Laiz;402;12.9;1313
01204;Le Poizat-Lalleyriat;207;14.7;735
01206;Lantenay;80;5.9;277
01207;Lapeyrouse;96;9.7;317
01208;Lavours;34;0;131
01209;Léaz;230;8.7;778
01210;Lélex;65;7.6;228
01211;Lent;401;8.5;1395
01212;Lescheroux;227;11.1;718
01213;Leyment;392;11.4;1341
01214;Leyssard;49;0;158
01215;Surjoux-Lhopital;46;0;140
01216;Lhuis;252;9.4;894
01219;Lompnas;55;9.1;164
01224;Loyettes;919;11;3225
01225;Lurcy;119;6.8;372
01227;Magnieu;190;13.2;643
01228;Maillat;190;7.9;660
01229;Malafretaz;373;8.9;1235
01230;Mantenay-Montlin;89;10.7;312
01231;Manziat;626;7.8;1948
01232;Marboz;670;7.7;2276
01233;Marchamp;40;25;130
01234;Marignieu;50;0;169
01235;Marlieux;319;12.3;1159
01236;Marsonnas;295;11.9;1011
01237;Martignat;500;10.8;1667
01238;Massieux;803;11.7;2670
01239;Massignieu-de-Rives;200;7.4;620
01240;Matafelon-Granges;190;7.2;627
01241;Meillonnas;400;6.2;1356
01242;Mérignat;35;14.3;135
01243;Messimy-sur-Saône;395;7.6;1253
01244;Meximieux;2181;10.4;7923
01245;Bohas-Meyriat-Rignat;284;9.1;943
01246;Mézériat;674;11;2217
01247;Mijoux;99;0;312
01248;Mionnay;670;6.6;2197
01249;Miribel;2777;10.7;10122
01250;Misérieux;571;9.2;1974
